Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
Product Class Recommendation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* Can adjust only value column *,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DC Code,DC Name,Article Number,Article Name,Article Vendor Name,Selling Unit,Item Flag,SCGH Item Status,SCGH DC Item Flag,DC Stock,Show & Stock (By Branch),Product Class (Previous Version),Product Class (QTY),Product Class (Value),Product Class (Recommendation) *
8910,DC Korat 01,1081826,ค.ดูดควัน รุ่น HC-HEE52J-90 สแตนเลส,,U12,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,B
8910,DC Korat 01,1081195,ซิงค์ 1 หลุมไม่มีที่พัก รุ่น BXX 210-65,,U05,Standard,Ready,,DC FLOW THROUGH,N,A,B,A,C
8910,DC Korat 01,1108137,SET เครื่องดูดควัน DDX90+GT LUX78 2G,,SET,Standard,Ready,,DC STOCK,N,A,A,A,C
8910,DC Korat 01,1108146,เตาแก๊สฝัง MEX รุ่น V7835C,,U12,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,C
8910,DC Korat 01,1108199,เตาแก๊ส 2 หัว 495.06.097,,U12,Standard,Ready,,DC STOCK,N,B,A,B,A
8910,DC Korat 01,1081008,K-76815X-S-0สุขภัณฑ์ชิ้นเดียว3/4.8 REACH,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,A
8910,DC Korat 01,1081010,MZ901#BSกระจกเงามุม10องศา เงิน,,U04,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,A
8910,DC Korat 01,1081641,CT0063#BL(HM)ราวแขวนผ้าสีดำยาว 65 ซม.,,EA,Standard,Ready,,DC FLOW THROUGH,N,B,C,B,B
8910,DC Korat 01,1081131,หัวฝักบัว 4 ฟังก์ชั่+ก้าน F40012-CHADY,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,A
8910,DC Korat 01,1081138,หัวฝักบัว 5 ฟังก์ชั่น+ก้าน F40011-CHADY,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1081648,K-25991X-0สุขภัณฑ์2ชิ้น3/4.8REACH+ฝาAUTO,,SET,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,B
8910,DC Korat 01,1081497,HAP004A-F วาล์วเปิดปิดน้ำ+สายน้ำดี,,EA,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,B
